CODIGO;ORD;RUBRO;PRECIO;NEW;CARPETA;EAN;LINEA1;LINEA2;LINEA3;LINEA4
MW-8V-BK;;Calculadoras Casio;16500;;FOTOS1;;Calculadora de Escritorio CASIO;8 dígitos;Medidas: 118x84x25mm;Pila
MX-120B;;Calculadoras Casio;19500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
MX-12B-GNRD;;Calculadoras Casio;17500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
MX-12B-PKLB;;Calculadoras Casio;17500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
MX-12B-WE;;Calculadoras Casio;17500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
D-E1200T;;Calculadoras Daihatsu;14900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 140x100x34mm;Solar y a Pila
D-E1205;;Calculadoras Daihatsu;14900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 130x107x34mm;Solar y a Pila
D-E1240-B;;Calculadoras Daihatsu;15900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x106x18,5mm;Solar y a Pila
D-E1240-W;;Calculadoras Daihatsu;15900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x106x18,5mm;Solar y a Pila
D-E1275-BK;;Calculadoras Daihatsu;12900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x106x18,5mm;Solar y a Pila
D-E1275-WE;;Calculadoras Daihatsu;12900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x106x18,5mm;Solar y a Pila
D-E1280-BK;;Calculadoras Daihatsu;12900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x100x18,5mm;Solar y a Pila
D-E1280-WE;;Calculadoras Daihatsu;12900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 160x100x18,5mm;Solar y a Pila
D-E1285-BK;;Calculadoras Daihatsu;15900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 170x110x18,5mm;Solar y a Pila
D-E1285-WE;;Calculadoras Daihatsu;15900;;FOTOS1;;Calculadora de Escritorio DAIHATSU;12 dígitos;Medidas: 170x110x18,5mm;Solar y a Pila
D-I100T-BK;;Calculadoras Daihatsu;94900;;FOTOS1;;Calculadora eléctrica con Impresor DAIHATSU;12 dígitos - 2 colores;Velocidad de impresión: 2,03 líneas/seg;4xAA o Fuente (No Incluida)
D-I100T-WE;;Calculadoras Daihatsu;94900;;FOTOS1;;Calculadora eléctrica con Impresor DAIHATSU;12 dígitos - 2 colores;Velocidad de impresión: 2,03 líneas/seg;4xAA o Fuente (No Incluida)
D-I200TH-B;;Calculadoras Daihatsu;139900;;FOTOS1;;Calculadora Impresora Térmica DAIHATSU;12 dígitos;Velocidad de impresión: 8 líneas/seg;Alimentación USB-C ( Incluye cable y cargador )
D-I200TH-W;;Calculadoras Daihatsu;139900;;FOTOS1;;Calculadora Impresora Térmica DAIHATSU;12 dígitos;Velocidad de impresión: 8 líneas/seg;Alimentación USB-C ( Incluye cable y cargador )
D-I8T-BK;;Calculadoras Daihatsu;69900;;FOTOS1;;Calculadora eléctrica con Impresor DAIHATSU;12 dígitos;Velocidad de impresión: 2,03 líneas/seg;4xAA o Fuente (No Incluida)
D-I8T-WE;;Calculadoras Daihatsu;69900;;FOTOS1;;Calculadora eléctrica con Impresor DAIHATSU;12 dígitos;Velocidad de impresión: 2,03 líneas/seg;4xAA o Fuente (No Incluida)
D-P1013B;;Calculadoras Daihatsu;8900;;FOTOS1;;Calculadora de Bolsillo DAIHATSU;10 dígitos - Con Tapa;Medidas: 119x71x19,5mm;Solar y a Pila
D-P1013W;;Calculadoras Daihatsu;8900;;FOTOS1;;Calculadora de Bolsillo DAIHATSU;10 dígitos - Con Tapa;Medidas: 119x71x19,5mm;Solar y a Pila
D-P803;;Calculadoras Daihatsu;5900;;FOTOS1;;Calculadora de Bolsillo DAIHATSU;8 dígitos;Medidas: 88x58x6,5mm;Pila
D-P803S;;Calculadoras Daihatsu;6900;;FOTOS1;;Calculadora de Bolsillo DAIHATSU;8 dígitos;Medidas: 88x58x6,5mm;Pila
D-X570LAPLUS;;Calculadoras Daihatsu;32900;;FOTOS1;;Calculadora Cientìfica DAIHATSU;10+2 dígitos, 244 funciones;Medidas: 158x84x17mm;Pila
D-X82;;Calculadoras Daihatsu;15900;;FOTOS1;;Calculadora Cientìfica DAIHATSU;10+2 dígitos, 240 funciones;Medidas: 181x85x20mm;Pila
D-X95;;Calculadoras Daihatsu;17900;;FOTOS1;;Calculadora Cientìfica DAIHATSU;10+2 dígitos, 244 funciones;Medidas: 158x84x17mm;Pila
D-AF6500-B;;Cocina;87900;;FOTOS1;'7799199015959;Freidora de Aire 6.5 L D-AF6510 | Negro;Potencia de 1750 W;Control de temperatura ajustable de 80 ºC a 200 ºC.;Peso: 5,05 kg.
D-AF6510-B;;Cocina;79900;;FOTOS1;'7799199017830;Freidora de Aire 6.5 L D-AF6510 | Negro;Potencia de 1750 W;Control de temperatura ajustable de 80 ºC a 200 ºC.;Peso: 5,05 kg.
D-AF6510-W;;Cocina;79900;;FOTOS1;'7799199017830;Freidora de Aire 6.5 L D-AF6510 | Blanco;Potencia de 1750 W;Control de temperatura ajustable de 80 ºC a 200 ºC.;Peso: 5,05 kg.
D-CF1000;;Cocina;29900;;FOTOS1;'7799199017861;Cafetera de filtro;Capacidad: 1,25 L (hasta 10 tazas);Potencia: 750 W;Filtro permanente reutilizable
D-CF2000;;Cocina;159900;;FOTOS1;;Cafetera Espresso;Capacidad: 2 L;Potencia: 1600 W, Presión: 20 bares;Espumador de leche
D-CF3000;;Cocina;369900;;FOTOS1;;Cafetera Espresso con molinillo;Contenedor de granos de café;Potencia: 1600 W, Presión: 20 bares;Espumador de leche,  Incluye adaptador para capsulas tipo Nespresso
D-CF4000-B;;Cocina;129900;;FOTOS1;;Cafetera Espresso D-CF4000 | Negro;Capacidad: 1,25 L (hasta 10 tazas);Potencia: 1500 W, Presión: 20 bares;Espumador de leche,  Incluye adaptador para capsulas tipo Nespresso
D-CF4000-W;;Cocina;129900;;FOTOS1;;Cafetera Espresso D-CF4000 | Blanco;Capacidad: 1,25 L (hasta 10 tazas);Potencia: 1500 W, Presión: 20 bares;Espumador de leche
D-COR150-B;;Cocina;94900;;FOTOS1;'7799199016031;Cortadora de Alimentos | Negro;Motor de 150 Wá;Disco de 170 mm de acero inoxidable;Grosor regulable de corte, entre 0 y 15 mm
D-COR150-S;;Cocina;94900;;FOTOS1;'7799199016031;Cortadora de Alimentos | Plateado;Motor de 150 Wá;Disco de 170 mm de acero inoxidable;Grosor regulable de corte, entre 0 y 15 mm
D-ES300-B;;Cocina;49900;;FOTOS1;'7799199017854;Espumador de leche;Capacidad: 300 ml;Potencia: 500 W;Espuma fría o caliente
D-MW1-20MB;;Cocina;159900;;FOTOS1;;Microondas Mecánico;Capacidad 20 Litros;Potencia 700W - 5 niveles;Temporizador
D-MW1-20MW;;Cocina;159900;;FOTOS1;;Microondas Mecánico;Capacidad 20 Litros;Potencia 700W - 5 niveles;Temporizador
D-MW2-20M;;Cocina;159900;;FOTOS1;;Microondas Mecánico;Capacidad 20 Litros;Potencia 700W - 5 niveles;Temporizador
D-MW3-20D;;Cocina;179900;;FOTOS1;;Microondas Digital;Capacidad 20 Litros;Potencia 700W - 6 modos de cocción;Temporizador
D-MW4-25D;;Cocina;259900;;FOTOS1;;Microondas Digital con Grill;Capacidad 25 Litros;Potencia 900W;Temporizador
D-PI1200-B;;Cocina;84900;;FOTOS1;'7799199016055;Picadora de Carne 1200 W | Negro;Motor de 1,18 kW (1200 W).;Cuchillas y discos de acero inoxidable.;Dise±o liviano: 2,3 kg.
D-PI1200-W;;Cocina;84900;;FOTOS1;'7799199016055;Picadora de Carne 1200 W | Blanco;Motor de 1,18 kW (1200 W).;Cuchillas y discos de acero inoxidable.;Dise±o liviano: 2,3 kg.
D-PR500-BK;;Cocina;33900;;FOTOS1;;Procesadora de alimentos;Capacidad: 2 L;Potencia: 500 W;Contenedor de vidrio, 4 cuchillas de acero inoxidable
D-PR500-BU;;Cocina;33900;;FOTOS1;;Procesadora de alimentos;Capacidad: 2 L;Potencia: 500 W;Contenedor de vidrio, 4 cuchillas de acero inoxidable
D-SAR1500;;Cocina;54900;;FOTOS1;'7799199016024;Sarten Eléctrica;Capacidad: 6 Litros;Sistema de cocción eléctrico con función mantener caliente;Dimensiones: 30 x 30 x 6 cm
D-TA50;;Cocina;179900;;FOTOS1;'7799199015942;Cesto de basura automático | 50 lts;Dimensiones: 29,3 Î 42 Î 67,3 cm;funciona con 3 pilas tipo C (no incluidas);
ML-BASE01B;;Cocina;22900;;FOTOS2;;Base Móvil Con Ruedas Electrodomésticos Heladera Lavarropas;Extensible hasta 56 x 56cm;Soporta hasta 138Kg;
ML-BASE02G;;Cocina;32900;;FOTOS2;;Base Móvil Reforzada Con Ruedas Electrodomésticos;Extensible hasta 60 x 60cm;Soporta hasta 138Kg;
ML-CARRO01;;Cocina;52900;;FOTOS2;;Carrito de Compras;Dimensiones: 93 x 30 x 30cm;Reforzado, plegable con 8 ruedas;Capacidad: 35L, Soporta hasta 30Kg
ML-SEC01B;;Cocina;39900;;FOTOS2;;Secaplatos Escurridor con Secavasos y Cubiertero  | Negro;Alto: 48cm, Ancho: 32cm, Largo: 65cm;Material: Acero Inoxidable;
